ID,Reference(s),Map update,Reference DOI #,"Latitude (decimal deg., WGS 84)","Longitude (decimal deg., WGS 84)",event.start,event.end
GTM_127,"Smith, Jeremy M., et al. ""Permanent forest plots show accelerating tree mortality in subalpine forests of the Colorado Front Range from 1982 to 2013."" Forest Ecology and Management 341 (2015): 8-17.",2015,https://doi.org/10.1016/j.foreco.2014.12.031,40.221092,-105.34481,2008,2013
GTM_128,"Vilà-Cabrera, Albert, et al. ""Patterns of forest decline and regeneration across Scots pine populations."" Ecosystems 16.2 (2013): 323-335.",2014,https://doi.org/10.1007/s10021-012-9615-2,41.32108,1.026708,,
GTM_129,"Fahey, Timothy J. ""Recent changes in an upland forest in south-central New York."" Journal of the Torrey Botanical Society (1998): 51-59.",2014,https://doi.org/10.2307/2997231,42.26512,-76.63651,1935,1985
GTM_13,"Khan et al., 1994",2010,,7.176596912,33.57698176,1987,
GTM_130,"Aynekulu, E., et al. ""Dieback affects forest structure in a dry Afromontane forest in northern Ethiopia."" Journal of arid environments 75.5 (2011): 499-503.",2016,https://doi.org/10.1016/j.jaridenv.2010.12.013,13.691356,10,1986,
GTM_131,"Liang, Eryuan, et al. ""Global warming-related tree growth decline and mortality on the north-eastern Tibetan plateau."" Climatic Change 134.1-2 (2016): 163-176.",2016,https://doi.org/10.1007/s10584-015-1531-y,38.566667,100.166667,1995,2005
GTM_132,"Minnich, Richard A. ""Southern California conifer forests."" Terrestrial vegetation of California 3 (2007): 502-538.",2014,n/a,34.62199,-118.554,1776,ongoing (comprehensive survey of southern California is ongoing)
GTM_133,"Challis, A., et al. ""Plant and environmental factors associated with drought-induced mortality in two facultative phreatophytic trees."" Plant and soil 404.1-2 (2016): 157-172.",2016,https://doi.org/10.1007/s11104-016-2793-5,-31.961775,115.83847,2010,2014
GTM_134,"Klos, Ryan J., et al. ""Drought impact on forest growth and mortality in the southeast USA: an analysis using Forest Health and Monitoring data."" Ecological Applications 19.3 (2009): 699-708.",2014,https://doi.org/10.1890/08-0330.1,32.56497,-86.69545,1991,2005
GTM_135,"Ganey, Joseph L., and Scott C. Vojta. ""Tree mortality in drought-stressed mixed-conifer and ponderosa pine forests, Arizona, USA."" Forest Ecology and Management 261.1 (2011): 162-168.",2014,https://doi.org/10.1016/j.foreco.2010.09.048,35.17933,-112.0705,1997,2007
GTM_136,"Andrew, Margaret E., et al. ""Spatial configuration of drought disturbance and forest gap creation across environmental gradients."" PloS one 11.6 (2016): e0157154.",2016,https://doi.org/10.1371/journal.pone.0157154,-32.259265,116.287537,2010,2011
GTM_137,"Michaelian, Michael, et al. ""Massive mortality of aspen following severe drought along the southern edge of the Canadian boreal forest."" Global Change Biology 17.6 (2011): 2084-2094.",2014,https://doi.org/10.1111/j.1365-2486.2010.02357.x,54.9,-109.4,2001,2001
GTM_138,"Matusick, George, et al. ""Eucalyptus forest shows low structural resistance and resilience to climate change?type drought."" Journal of Vegetation Science 27.3 (2016): 493-503.",2016,https://doi.org/10.1111/jvs.12378,-32.25926,116.28753,2010,2011
GTM_139,"Drobyshev, Igor, Hans Linderson, and Kerstin Sonesson. ""Temporal mortality pattern of pedunculate oaks in southern Sweden."" Dendrochronologia 24.2 (2007): 97-108.",2016,https://doi.org/10.1016/j.dendro.2006.10.004,57.903174,13.842773,1988,1994
